date,value
10/20/16,23217
10/21/16,22343
10/22/16,19571
10/23/16,20457
10/24/16,25670
10/25/16,27317
10/26/16,26489
10/27/16,27207
10/28/16,23258
10/29/16,22975
10/30/16,24828
10/31/16,26423
11/1/16,25856
11/2/16,26565
11/3/16,30183
11/4/16,28981
11/5/16,25849
11/6/16,25287
11/7/16,27790
11/8/16,26744
11/9/16,25489
11/10/16,117906
11/11/16,159186
11/12/16,33775
11/13/16,22762
11/14/16,24449
11/15/16,30817
11/16/16,33673
11/17/16,35712
11/18/16,50298
11/19/16,42964
11/20/16,47789
11/21/16,52663
11/22/16,51329
11/23/16,48490
11/24/16,46822
11/25/16,29973
11/26/16,25239
11/27/16,27955
11/28/16,31749
11/29/16,29694
11/30/16,27470
12/1/16,32666
12/2/16,36075
12/3/16,31115
12/4/16,23536
12/5/16,25527
12/6/16,28078
12/7/16,31498
12/8/16,28919
12/9/16,27988
12/10/16,25698
12/11/16,28806
12/12/16,31131
12/13/16,32777
12/14/16,32015
12/15/16,42333
12/16/16,28715
12/17/16,23503
12/18/16,23391
12/19/16,28247
12/20/16,29969
12/21/16,28531
12/22/16,29442
12/23/16,24747
12/24/16,20227
12/25/16,19035
12/26/16,23076
12/27/16,25138
12/28/16,28424
12/29/16,27197
12/30/16,24804
12/31/16,20197
1/1/17,26185
1/2/17,28560
1/3/17,31525
1/4/17,28955
1/5/17,35024
1/6/17,37353
1/7/17,33233
1/8/17,30571
1/9/17,32352
1/10/17,33550
1/11/17,35142
1/12/17,30960
1/13/17,33266
1/14/17,34418
1/15/17,26987
1/16/17,37466
1/17/17,32119
1/18/17,30628
1/19/17,32362
1/20/17,30079
1/21/17,29555
1/22/17,33041
1/23/17,37958
1/24/17,33083
1/25/17,31990
1/26/17,32775
1/27/17,29665
1/28/17,28045
1/29/17,55875
1/30/17,32284
1/31/17,31334
2/1/17,30124
2/2/17,31924
2/3/17,27526
2/4/17,24955
2/5/17,30714
2/6/17,33347
2/7/17,37804
2/8/17,33664
2/9/17,36645
2/10/17,29067
2/11/17,24300
2/12/17,29004
2/13/17,32764
2/14/17,33632
2/15/17,30330
2/16/17,30942
2/17/17,28747
2/18/17,26708
2/19/17,26266
2/20/17,37017
2/21/17,32837
2/22/17,36489
2/23/17,33894
2/24/17,33952
2/25/17,28785
2/26/17,27813
2/27/17,31283
2/28/17,30633
3/1/17,33258
3/2/17,29234
3/3/17,28912
3/4/17,23709
3/5/17,23970
3/6/17,31878
3/7/17,30962
3/8/17,29290
3/9/17,28652
3/10/17,27218
3/11/17,25319
3/12/17,26416
3/13/17,28475
3/14/17,31696
3/15/17,31997
3/16/17,30443
3/17/17,28411
3/18/17,23845
3/19/17,25132
3/20/17,29705
3/21/17,26941
3/22/17,34204
3/23/17,31416
3/24/17,30360
3/25/17,25596
3/26/17,36487
3/27/17,35773
3/28/17,30866
3/29/17,29235
3/30/17,30333
3/31/17,30709
4/1/17,23762
4/2/17,24969
4/3/17,33614
4/4/17,35923
4/5/17,31198
4/6/17,32455
4/7/17,28156
4/8/17,24879
4/9/17,23871
4/10/17,30624
4/11/17,33896
4/12/17,31360
4/13/17,27592
4/14/17,31720
4/15/17,27999
4/16/17,27037
4/17/17,31801
4/18/17,30731
4/19/17,56682
4/20/17,32813
4/21/17,28301
4/22/17,25124
4/23/17,24741
4/24/17,36291
4/25/17,32177
4/26/17,30675
4/27/17,51977
4/28/17,26987
4/29/17,23219
4/30/17,25788
5/1/17,30580
5/2/17,30175
5/3/17,29907
5/4/17,32716
5/5/17,32642
5/6/17,28752
5/7/17,25898
5/8/17,39028
5/9/17,46944
5/10/17,39860
5/11/17,46743
5/12/17,29197
5/13/17,26105
5/14/17,28039
5/15/17,35563
5/16/17,35443
5/17/17,35114
5/18/17,37373
5/19/17,31868
5/20/17,30077
5/21/17,25970
5/22/17,32100
5/23/17,35395
5/24/17,39844
5/25/17,44889
5/26/17,39374
5/27/17,26679
5/28/17,26758
5/29/17,32635
5/30/17,37686
5/31/17,48219
6/1/17,43336
6/2/17,50825
6/3/17,44143
6/4/17,44193
6/5/17,56336
6/6/17,47989
6/7/17,47885
6/8/17,43983
6/9/17,44776
6/10/17,42018
6/11/17,34311
6/12/17,39694
6/13/17,41098
6/14/17,38289
6/15/17,35351
6/16/17,39123
6/17/17,40941
6/18/17,33112
6/19/17,38418
6/20/17,45829
6/21/17,42424
6/22/17,54267
6/23/17,38842
6/24/17,40668
6/25/17,46618
6/26/17,43904
6/27/17,46568
6/28/17,52375
6/29/17,41553
6/30/17,48456
7/1/17,37928
7/2/17,47547
7/3/17,78839
7/4/17,82957
7/5/17,79604
7/6/17,70436
7/7/17,55682
7/8/17,47133
7/9/17,52715
7/10/17,60916
7/11/17,58470
7/12/17,67336
7/13/17,72532
7/14/17,78133
7/15/17,75974
7/16/17,77304
7/17/17,74115
7/18/17,78235
7/19/17,83925
7/20/17,62996
7/21/17,65973
7/22/17,60364
7/23/17,57083
7/24/17,63076
7/25/17,78896
7/26/17,61290
7/27/17,68910
7/28/17,77848
7/29/17,57041
7/30/17,44213
7/31/17,62541
8/1/17,46685
8/2/17,51019
8/3/17,49166
8/4/17,56280
8/5/17,44482
8/6/17,42476
8/7/17,47298
8/8/17,47995
8/9/17,46436
8/10/17,43221
8/11/17,48098
8/12/17,43524
8/13/17,40913
8/14/17,48547
8/15/17,49134
8/16/17,50398
8/17/17,55424
8/18/17,51828
8/19/17,41340
8/20/17,45547
8/21/17,61318
8/22/17,54247
8/23/17,54941
8/24/17,38833
8/25/17,37208
8/26/17,39073
8/27/17,40359
8/28/17,55006
8/29/17,52121
8/30/17,48375
8/31/17,47794
9/1/17,47939
9/2/17,40430
9/3/17,28497
9/4/17,51281
9/5/17,52076
9/6/17,53952
9/7/17,54945
9/8/17,48839
9/9/17,44404
9/10/17,48150
9/11/17,56383
9/12/17,52978
9/13/17,52552
9/14/17,52044
9/15/17,50138
9/16/17,42710
9/17/17,42071
9/18/17,58878
9/19/17,51861
9/20/17,51792
9/21/17,48664
9/22/17,43914
9/23/17,39859
9/24/17,37368
9/25/17,46807
9/26/17,50268
9/27/17,48480
9/28/17,45651
9/29/17,43654
9/30/17,34719
10/1/17,38835
10/2/17,46391
10/3/17,50398
10/4/17,50115
10/5/17,57123
10/6/17,50828
10/7/17,40829
10/8/17,39843
10/9/17,48588
10/10/17,50863
10/11/17,46741
10/12/17,51448
10/13/17,50295
10/14/17,42956
10/15/17,39388
10/16/17,48393
10/17/17,52093
10/18/17,50482
10/19/17,56418
10/20/17,44474
10/21/17,42741
10/22/17,46446
10/23/17,50884
10/24/17,55085
10/25/17,50914
10/26/17,48182
10/27/17,46141
10/28/17,39823
10/29/17,39452
10/30/17,48468
10/31/17,45963
11/1/17,45771
11/2/17,54769
11/3/17,54387
11/4/17,43141
11/5/17,43411
11/6/17,55505
11/7/17,55343
11/8/17,49695
11/9/17,56215
11/10/17,59465
11/11/17,41105
11/12/17,53562
11/13/17,56598
11/14/17,58650
11/15/17,57976
11/16/17,61562
11/17/17,54098
11/18/17,45065
11/19/17,48547
11/20/17,55367
11/21/17,56693
11/22/17,136744
11/23/17,113149
11/24/17,59697
11/25/17,42161
11/26/17,45100
11/27/17,55855
11/28/17,54324
11/29/17,56843
11/30/17,60249
12/1/17,58830
12/2/17,34791
12/3/17,34841
12/4/17,52880
12/5/17,60788
12/6/17,60358
12/7/17,55929
12/8/17,44714
12/9/17,41348
12/10/17,40424
12/11/17,53151
12/12/17,51780
12/13/17,57092
12/14/17,48394
12/15/17,46097
12/16/17,48136
12/17/17,37655
12/18/17,49015
12/19/17,55850
12/20/17,48414
12/21/17,51137
12/22/17,45127
12/23/17,34257
12/24/17,36708
12/25/17,49542
12/26/17,44083
12/27/17,43075
12/28/17,51018
12/29/17,72819
12/30/17,50169
12/31/17,42616
1/1/18,41810
1/2/18,51362
1/3/18,56013
1/4/18,58910
1/5/18,58239
1/6/18,41870
1/7/18,42981
1/8/18,62887
1/9/18,60260
1/10/18,106349
1/11/18,77030
1/12/18,53781
1/13/18,42621
1/14/18,43990
1/15/18,59119
1/16/18,63272
1/17/18,60159
1/18/18,64068
1/19/18,61345
1/20/18,50553
1/21/18,46436
1/22/18,63084
1/23/18,62758
1/24/18,61700
1/25/18,65438
1/26/18,56792
1/27/18,48186
1/28/18,49485
1/29/18,66609
1/30/18,77144
1/31/18,61732
2/1/18,65803
2/2/18,59272
2/3/18,45779
2/4/18,29872
2/5/18,76073
2/6/18,77059
2/7/18,74939
2/8/18,75397
2/9/18,71514
2/10/18,51208
2/11/18,52371
2/12/18,76738
2/13/18,74967
2/14/18,66850
2/15/18,70090
2/16/18,68310
2/17/18,56257
2/18/18,53798
2/19/18,67406
2/20/18,72493
2/21/18,82716
2/22/18,84685
2/23/18,68160
2/24/18,51002
2/25/18,50945
2/26/18,69180
2/27/18,75783
2/28/18,70345
3/1/18,66423
3/2/18,62627
3/3/18,48492
3/4/18,53712
3/5/18,65506
3/6/18,88644
3/7/18,76008
3/8/18,67376
3/9/18,63935
3/10/18,52913
3/11/18,49759
3/12/18,66045
3/13/18,70428
3/14/18,66001
3/15/18,66800
3/16/18,60562
3/17/18,48609
3/18/18,48808
3/19/18,64044
3/20/18,65209
3/21/18,68532
3/22/18,71059
3/23/18,65798
3/24/18,48873
3/25/18,51219
3/26/18,68186
3/27/18,70345
3/28/18,68748
3/29/18,68853
3/30/18,58890
3/31/18,51103
4/1/18,56224
4/2/18,66957
4/3/18,70500
4/4/18,71217
4/5/18,71640
4/6/18,65494
4/7/18,52642
4/8/18,49394
4/9/18,67122
4/10/18,67930
4/11/18,66601
4/12/18,88232
4/13/18,65620
4/14/18,46493
4/15/18,50303
4/16/18,70225
4/17/18,70814
4/18/18,67661
4/19/18,65526
4/20/18,68599
4/21/18,53931
4/22/18,53319
4/23/18,68490
4/24/18,68477
4/25/18,68962
4/26/18,64760
4/27/18,56276
4/28/18,42883
4/29/18,42861
4/30/18,51372
5/1/18,56905
5/2/18,56834
5/3/18,64835
5/4/18,56420
5/5/18,44898
5/6/18,43602
5/7/18,55713
5/8/18,57836
5/9/18,54817
5/10/18,65517
5/11/18,59600
5/12/18,40878
5/13/18,46586
5/14/18,55193
5/15/18,59453
5/16/18,56362
5/17/18,58871
5/18/18,59496
5/19/18,44562
5/20/18,48197
5/21/18,57575
5/22/18,59419
5/23/18,63881
5/24/18,72924
5/25/18,49617
5/26/18,42533
5/27/18,43357
5/28/18,53397
5/29/18,58201
5/30/18,69592
5/31/18,96378
6/1/18,72946
6/2/18,58104
6/3/18,56734
6/4/18,74785
6/5/18,130604
6/6/18,70775
6/7/18,69192
6/8/18,64313
6/9/18,56129
6/10/18,60222
6/11/18,71665
6/12/18,72167
6/13/18,70514
6/14/18,68685
6/15/18,58703
6/16/18,50098
6/17/18,52736
6/18/18,80955
6/19/18,77413
6/20/18,83183
6/21/18,81671
6/22/18,66745
6/23/18,72015
6/24/18,68024
6/25/18,80403
6/26/18,81573
6/27/18,69363
6/28/18,63678
6/29/18,66111
6/30/18,54004
7/1/18,44552
7/2/18,61693
7/3/18,65394
7/4/18,63630
7/5/18,74420
7/6/18,62313
7/7/18,54111
7/8/18,51703
7/9/18,62304
7/10/18,90831
7/11/18,71342
7/12/18,64328
7/13/18,60919
7/14/18,49131
7/15/18,50575
7/16/18,63715
7/17/18,71926
7/18/18,65871
7/19/18,63196
7/20/18,64881
7/21/18,54481
7/22/18,54784
7/23/18,70218
7/24/18,73937
7/25/18,95611
7/26/18,96264
7/27/18,57272
7/28/18,44523
7/29/18,44070
7/30/18,60989
7/31/18,62339
8/1/18,63520
8/2/18,63268
8/3/18,62227
8/4/18,46947
8/5/18,42650
8/6/18,63159
8/7/18,67216
8/8/18,72890
8/9/18,71460
8/10/18,71279
8/11/18,55241
8/12/18,52774
8/13/18,66145
8/14/18,66222
8/15/18,67895
8/16/18,61577
8/17/18,59822
8/18/18,52645
8/19/18,58069
8/20/18,71289
8/21/18,68729
8/22/18,67580
8/23/18,66574
8/24/18,62847
8/25/18,51910
8/26/18,49398
8/27/18,63821
8/28/18,63969
8/29/18,63573
8/30/18,75250
8/31/18,77834
9/1/18,47114
9/2/18,46875
9/3/18,67138
9/4/18,72182
9/5/18,76418
9/6/18,79476
9/7/18,78279
9/8/18,72950
9/9/18,56988
9/10/18,79179
9/11/18,88013
9/12/18,73528
9/13/18,77145
9/14/18,66614
9/15/18,56505
9/16/18,50128
9/17/18,64325
9/18/18,68692
9/19/18,71498
9/20/18,68598
9/21/18,68987
9/22/18,50512
9/23/18,56152
9/24/18,70468
9/25/18,64054
9/26/18,69501
9/27/18,67876
9/28/18,72233
9/29/18,52292
9/30/18,44532
10/1/18,25830
10/2/18,10099
10/3/18,62166
10/4/18,83869
10/5/18,86759
10/6/18,59515
10/7/18,87863
10/8/18,120741
10/9/18,131815
10/10/18,153341
10/11/18,163758
10/12/18,176175
10/13/18,168644
10/14/18,184018
10/15/18,174639
10/16/18,177647
10/17/18,169915
10/18/18,155078
10/19/18,149940
10/20/18,92549
10/21/18,80661
10/22/18,80458
10/23/18,105987
10/24/18,138476
10/25/18,140264
10/26/18,100213
10/27/18,65391
10/28/18,61406
10/29/18,76625
10/30/18,97815
10/31/18,108695
11/1/18,85861
11/2/18,73794
11/3/18,62830
11/4/18,62538
11/5/18,79117
11/6/18,83775
11/7/18,84770
11/8/18,105849
11/9/18,76395
11/10/18,64975
11/11/18,58481
11/12/18,80567
11/13/18,91368
11/14/18,90488
11/15/18,76911
11/16/18,80870
11/17/18,61170
11/18/18,66269
11/19/18,92083
11/20/18,90130
11/21/18,77632
11/22/18,78076
11/23/18,75398
11/24/18,64116
11/25/18,62559
11/26/18,77084
11/27/18,93864
11/28/18,88667
11/29/18,92368
11/30/18,82645
12/1/18,62373
12/2/18,73710
12/3/18,96254
12/4/18,96984
12/5/18,96559
12/6/18,89751
12/7/18,86705
12/8/18,72606
12/9/18,70190
12/10/18,74469
12/11/18,81153
12/12/18,83163
12/13/18,89445
12/14/18,83384
12/15/18,79467
12/16/18,77869
12/17/18,98436
12/18/18,96231
12/19/18,92070
12/20/18,90449
12/21/18,85083
12/22/18,70392
12/23/18,69765
12/24/18,69618
12/25/18,74671
12/26/18,76754
12/27/18,80703
12/28/18,73629
12/29/18,66282
12/30/18,62826
12/31/18,60481
1/1/19,58508
1/2/19,109708
1/3/19,100710
1/4/19,94514
1/5/19,77897
1/6/19,94108
1/7/19,94715
1/8/19,105928
1/9/19,106576
1/10/19,111328
1/11/19,120991
1/12/19,110775
1/13/19,97243
1/14/19,114139
1/15/19,112172
1/16/19,113433
1/17/19,105912
1/18/19,106513
1/19/19,79858
1/20/19,78679
1/21/19,103240
1/22/19,106126
1/23/19,119710
1/24/19,114541
1/25/19,119836
1/26/19,78342
1/27/19,86596
1/28/19,111784
1/29/19,107881
1/30/19,106844
1/31/19,115145
2/1/19,99156
2/2/19,71654
2/3/19,104287
2/4/19,97713
2/5/19,107855
2/6/19,120854
2/7/19,107973
2/8/19,101730
2/9/19,118356
2/10/19,78137
2/11/19,113240
2/12/19,118410
2/13/19,122283
2/14/19,134772
2/15/19,123318
2/16/19,111750
2/17/19,98067
2/18/19,112632
2/19/19,106237
2/20/19,120747
2/21/19,114251
2/22/19,102341
2/23/19,86657
2/24/19,81696
2/25/19,99292
2/26/19,108135
2/27/19,102492
2/28/19,103079
3/1/19,92662
3/2/19,75072
3/3/19,76810
3/4/19,104991
3/5/19,113300
3/6/19,99434
3/7/19,96024
3/8/19,91932
3/9/19,65607
3/10/19,68218
3/11/19,100407
3/12/19,92674
3/13/19,97029
3/14/19,107248
3/15/19,102519
3/16/19,80095
3/17/19,66368
3/18/19,101569
3/19/19,98515
3/20/19,95566
3/21/19,83454
3/22/19,92856
3/23/19,59222
3/24/19,64835
3/25/19,94751
3/26/19,106366
3/27/19,97418
3/28/19,113353
3/29/19,134753
3/30/19,83480
3/31/19,71121
4/1/19,98719
4/2/19,93282
4/3/19,98107
4/4/19,112045
4/5/19,110418
4/6/19,80815
4/7/19,64028
4/8/19,89370
4/9/19,92505
4/10/19,92153
4/11/19,97584
4/12/19,92058
4/13/19,93224
4/14/19,75554
4/15/19,92015
4/16/19,98066
4/17/19,100099
4/18/19,86821
4/19/19,73030
4/20/19,131100
4/21/19,75644
4/22/19,81984
4/23/19,97791
4/24/19,91681
4/25/19,87451
4/26/19,79416
4/27/19,61038
4/28/19,57724
4/29/19,80832
4/30/19,96499
5/1/19,91566
5/2/19,105923
5/3/19,100673
5/4/19,62282
5/5/19,86542
5/6/19,83274
5/7/19,85039
5/8/19,92181
5/9/19,91506
5/10/19,86823
5/11/19,89641
5/12/19,65338
5/13/19,90475
5/14/19,106162
5/15/19,104193
5/16/19,94579
5/17/19,101725
5/18/19,86865
5/19/19,101164
5/20/19,92125
5/21/19,93848
5/22/19,106702
5/23/19,86054
5/24/19,83585
5/25/19,67210
5/26/19,67965
5/27/19,106559
5/28/19,99094
5/29/19,100021
5/30/19,102705
5/31/19,102818
6/1/19,71713
6/2/19,80399
6/3/19,102453
6/4/19,106321
6/5/19,102191
6/6/19,106048
6/7/19,104623
6/8/19,61504
6/9/19,75791
6/10/19,98910
6/11/19,102190
6/12/19,107613
6/13/19,99938
6/14/19,81671
6/15/19,63355
6/16/19,69442
6/17/19,1173655
6/18/19,1166225
6/19/19,102231
6/20/19,105359
6/21/19,101275
6/22/19,72492
6/23/19,83188
6/24/19,107207
6/25/19,107039
6/26/19,95900
6/27/19,107290
6/28/19,87190
6/29/19,63622
6/30/19,65243
7/1/19,97699
7/2/19,97183
7/3/19,91528
7/4/19,87225
7/5/19,131213
7/6/19,66995
7/7/19,71811
7/8/19,97352
7/9/19,117078
7/10/19,207841
7/11/19,111793
7/12/19,112038
7/13/19,70150
7/14/19,68169
7/15/19,107960
7/16/19,107007
7/17/19,129677
7/18/19,127187
7/19/19,102631
7/20/19,75436
7/21/19,70848
7/22/19,107960
7/23/19,110464
7/24/19,121716
7/25/19,100948
7/26/19,91195
7/27/19,68741
7/28/19,70696
7/29/19,100947
7/30/19,104442
7/31/19,99008
8/1/19,103424
8/2/19,93270
8/3/19,151671
8/4/19,145731
8/5/19,105386
8/6/19,337325
8/7/19,341595
8/8/19,99495
8/9/19,93534
8/10/19,65534
8/11/19,62891
8/12/19,87424
8/13/19,100304
8/14/19,105699
8/15/19,85475
8/16/19,96934
8/17/19,55069
8/18/19,84197
8/19/19,119860
8/20/19,114539
8/21/19,118384
8/22/19,140928
8/23/19,103203
8/24/19,80988
8/25/19,80635
8/26/19,130151
8/27/19,122564
8/28/19,116142
8/29/19,94855
8/30/19,98117
8/31/19,122398
9/1/19,69977
9/2/19,85331
9/3/19,102896
9/4/19,106868
9/5/19,102307
9/6/19,91461
9/7/19,61628
9/8/19,98955
9/9/19,174212
9/10/19,95371
9/11/19,97140
9/12/19,101739
9/13/19,91749
9/14/19,65897
9/15/19,66924
9/16/19,93719
9/17/19,116171
9/18/19,106662
9/19/19,106773
9/20/19,91165
9/21/19,61998
9/22/19,63127
9/23/19,105193
9/24/19,106773
9/25/19,130091
9/26/19,146917
9/27/19,105245
9/28/19,71045
9/29/19,93493
9/30/19,107238
10/1/19,107202
10/2/19,99416
10/3/19,98737
10/4/19,91873
10/5/19,78400
10/6/19,76252
10/7/19,114746
10/8/19,121411
10/9/19,121069
10/10/19,129971
10/11/19,157475
10/12/19,147056
10/13/19,116148
10/14/19,118108
10/15/19,131170
10/16/19,185784
10/17/19,169663
10/18/19,160650
10/19/19,116900
10/20/19,120460
10/21/19,208036
10/22/19,229870
10/23/19,273708
10/24/19,255178
10/25/19,176921
10/26/19,118564
10/27/19,129458
10/28/19,209661
10/29/19,211967
10/30/19,210925
10/31/19,189965
11/1/19,168513
11/2/19,118347
11/3/19,130118
11/4/19,201791
11/5/19,208234
11/6/19,194616
11/7/19,200462
11/8/19,177588
11/9/19,115642
11/10/19,117717
11/11/19,212058
11/12/19,206488
11/13/19,195023
11/14/19,196477
11/15/19,314101
11/16/19,125634
11/17/19,131639
11/18/19,221181
11/19/19,221555
11/20/19,151733
11/21/19,169121
11/22/19,204015
11/23/19,146658
11/24/19,138875
11/25/19,219608
11/26/19,220590
11/27/19,208223
11/28/19,202049
11/29/19,171584
11/30/19,141161
12/1/19,142918
12/2/19,220144
12/3/19,158549
